,,,,Type,,Date,,Num,,Account,,Amount,,Balance
,A & A Sprinkler,,,,,,,,,,,,,"-13,341.66"
,Total A & A Sprinkler,,,,,,,,,,,,,"-13,341.66"
,A.O. Smith WPC,,,,,,,,,,,,,"8,250.00"
,,,,Invoice,,05/06/2026,,24486,,11000 · Accounts Receivable,,"5,500.00",,"13,750.00"
,,,,Payment,,05/22/2026,,2000012735,,11000 · Accounts Receivable,,"-8,250.00",,"5,500.00"
,,,,Invoice,,05/27/2026,,24541,,11000 · Accounts Receivable,,"2,750.00",,"8,250.00"
,Total A.O. Smith WPC,,,,,,,,,,,0.00,,"8,250.00"
,"Absolute Fire Protection, Inc",,,,,,,,,,,,,0.00
,"Total Absolute Fire Protection, Inc",,,,,,,,,,,,,0.00
,Advanced Fire Protection Co.,,,,,,,,,,,,,0.00
,Total Advanced Fire Protection Co.,,,,,,,,,,,,,0.00
,Alpha Fire  - Chicago Fire,,,,,,,,,,,,,"28,024.86"
,,,,Payment,,05/14/2026,,1020,,11000 · Accounts Receivable,,"-10,000.00",,"18,024.86"
,,,,Invoice,,05/15/2026,,24592,,11000 · Accounts Receivable,,524.24,,"18,549.10"
,,,,Invoice,,05/29/2026,,24605,,11000 · Accounts Receivable,,"91,424.33",,"109,973.43"
,,,,Invoice,,05/29/2026,,24628,,11000 · Accounts Receivable,,358.32,,"110,331.75"
,Total Alpha Fire  - Chicago Fire,,,,,,,,,,,"82,306.89",,"110,331.75"
,"AMS Mechanical Systems, Inc",,,,,,,,,,,,,0.00
,"Total AMS Mechanical Systems, Inc",,,,,,,,,,,,,0.00
,C&G Construction- FE Moran,,,,,,,,,,,,,0.00
,,,,Invoice,,05/07/2026,,24561,,11000 · Accounts Receivable,,"5,887.07",,"5,887.07"
,,,,Invoice,,05/07/2026,,24562,,11000 · Accounts Receivable,,"4,332.94",,"10,220.01"
,,,,Invoice,,05/14/2026,,24559,,11000 · Accounts Receivable,,"5,989.75",,"16,209.76"
,,,,Invoice,,05/21/2026,,24584,,11000 · Accounts Receivable,,"6,403.96",,"22,613.72"
,Total C&G Construction- FE Moran,,,,,,,,,,,"22,613.72",,"22,613.72"
,C&G Construction- TPC,,,,,,,,,,,,,0.00
,Total C&G Construction- TPC,,,,,,,,,,,,,0.00
,Cash Sales,,,,,,,,,,,,,0.00
,Total Cash Sales,,,,,,,,,,,,,0.00
,Central States Automatic Sprinkler,,,,,,,,,,,,,0.00
,Total Central States Automatic Sprinkler,,,,,,,,,,,,,0.00
,"Century Auto Sprinkler Co., Inc.",,,,,,,,,,,,,0.00
,"Total Century Auto Sprinkler Co., Inc.",,,,,,,,,,,,,0.00
,"Chicago Fire Protection, LLC",,,,,,,,,,,,,"109,086.25"
,,,,Invoice,,05/11/2026,,24577,,11000 · Accounts Receivable,,"1,268.78",,"110,355.03"
,,,,Invoice,,05/11/2026,,24578,,11000 · Accounts Receivable,,"2,362.21",,"112,717.24"
,,,,Invoice,,05/11/2026,,24564,,11000 · Accounts Receivable,,"1,277.61",,"113,994.85"
,,,,Invoice,,05/11/2026,,24566,,11000 · Accounts Receivable,,"1,379.33",,"115,374.18"
,,,,Payment,,05/12/2026,,10673,,11000 · Accounts Receivable,,"-11,836.07",,"103,538.11"
,,,,Discount,,05/12/2026,,10673,,11000 · Accounts Receivable,,-596.19,,"102,941.92"
,,,,Invoice,,05/14/2026,,24572,,11000 · Accounts Receivable,,"17,761.19",,"120,703.11"
,,,,Payment,,05/19/2026,,10702,,11000 · Accounts Receivable,,"-84,073.33",,"36,629.78"
,,,,Discount,,05/19/2026,,10702,,11000 · Accounts Receivable,,"-4,412.59",,"32,217.19"
,,,,Invoice,,05/27/2026,,24606,,11000 · Accounts Receivable,,16.59,,"32,233.78"
,,,,Invoice,,05/28/2026,,24614,,11000 · Accounts Receivable,,124.90,,"32,358.68"
,,,,Invoice,,05/29/2026,,24632,,11000 · Accounts Receivable,,318.54,,"32,677.22"
,,,,Invoice,,05/29/2026,,24634,,11000 · Accounts Receivable,,"5,632.09",,"38,309.31"
,,,,Invoice,,05/29/2026,,24633,,11000 · Accounts Receivable,,929.79,,"39,239.10"
,,,,Payment,,05/29/2026,,10724,,11000 · Accounts Receivable,,"-22,947.70",,"16,291.40"
,,,,Discount,,05/29/2026,,10724,,11000 · Accounts Receivable,,"-1,101.42",,"15,189.98"
,,,,Payment,,05/29/2026,,10725,,11000 · Accounts Receivable,,"-7,788.54",,"7,401.44"
,,,,Discount,,05/29/2026,,10725,,11000 · Accounts Receivable,,-379.53,,"7,021.91"
,"Total Chicago Fire Protection, LLC",,,,,,,,,,,"-102,064.34",,"7,021.91"
,F.E. Moran Inc.,,,,,,,,,,,,,"87,497.25"
,,,,Invoice,,05/01/2026,,24067D,,11000 · Accounts Receivable,,"5,484.23",,"92,981.48"
,,,,Invoice,,05/01/2026,,24068D,,11000 · Accounts Receivable,,"5,759.92",,"98,741.40"
,,,,Payment,,05/01/2026,,142302,,11000 · Accounts Receivable,,"-5,553.51",,"93,187.89"
,,,,Discount,,05/01/2026,,142302,,11000 · Accounts Receivable,,-289.45,,"92,898.44"
,,,,Invoice,,05/06/2026,,24556,,11000 · Accounts Receivable,,253.26,,"93,151.70"
,,,,Invoice,,05/08/2026,,24565,,11000 · Accounts Receivable,,"8,809.95",,"101,961.65"
,,,,Payment,,05/08/2026,,142343,,11000 · Accounts Receivable,,"-9,305.01",,"92,656.64"
,,,,Discount,,05/08/2026,,142343,,11000 · Accounts Receivable,,-484.05,,"92,172.59"
,,,,Invoice,,05/21/2026,,24571,,11000 · Accounts Receivable,,"32,215.75",,"124,388.34"
,,,,Invoice,,05/27/2026,,24612,,11000 · Accounts Receivable,,"4,176.77",,"128,565.11"
,,,,Invoice,,05/28/2026,,24613,,11000 · Accounts Receivable,,"4,442.57",,"133,007.68"
,,,,Invoice,,05/28/2026,,24627,,11000 · Accounts Receivable,,"14,706.23",,"147,713.91"
,Total F.E. Moran Inc.,,,,,,,,,,,"60,216.66",,"147,713.91"
,"Gardner Denver, Inc.",,,,,,,,,,,,,0.00
,"Total Gardner Denver, Inc.",,,,,,,,,,,,,0.00
,Great Lakes Plumbing & Heating  Co.,,,,,,,,,,,,,"185,076.49"
,,,,Invoice,,05/01/2026,,24539,,11000 · Accounts Receivable,,"2,266.30",,"187,342.79"
,,,,Invoice,,05/01/2026,,24551,,11000 · Accounts Receivable,,777.73,,"188,120.52"
,,,,Invoice,,05/01/2026,,24552,,11000 · Accounts Receivable,,64.51,,"188,185.03"
,,,,Invoice,,05/01/2026,,24553,,11000 · Accounts Receivable,,"6,432.35",,"194,617.38"
,,,,Invoice,,05/01/2026,,24555,,11000 · Accounts Receivable,,160.63,,"194,778.01"
,,,,Payment,,05/01/2026,,1210615,,11000 · Accounts Receivable,,"-134,903.10",,"59,874.91"
,,,,Discount,,05/01/2026,,1210615,,11000 · Accounts Receivable,,"-2,277.29",,"57,597.62"
,,,,Invoice,,05/06/2026,,24557D,,11000 · Accounts Receivable,,173.80,,"57,771.42"
,,,,Invoice,,05/08/2026,,24570D,,11000 · Accounts Receivable,,"7,267.68",,"65,039.10"
,,,,Invoice,,05/11/2026,,24573,,11000 · Accounts Receivable,,"3,640.82",,"68,679.92"
,,,,Invoice,,05/11/2026,,24575,,11000 · Accounts Receivable,,"1,350.44",,"70,030.36"
,,,,Invoice,,05/11/2026,,24576,,11000 · Accounts Receivable,,953.10,,"70,983.46"
,,,,Invoice,,05/13/2026,,24579,,11000 · Accounts Receivable,,"13,189.75",,"84,173.21"
,,,,Invoice,,05/13/2026,,24580,,11000 · Accounts Receivable,,87.43,,"84,260.64"
,,,,Invoice,,05/13/2026,,24581,,11000 · Accounts Receivable,,293.98,,"84,554.62"
,,,,Invoice,,05/13/2026,,24582,,11000 · Accounts Receivable,,189.89,,"84,744.51"
,,,,Invoice,,05/13/2026,,24583,,11000 · Accounts Receivable,,646.23,,"85,390.74"
,,,,Invoice,,05/14/2026,,24587,,11000 · Accounts Receivable,,"5,284.01",,"90,674.75"
,,,,Invoice,,05/21/2026,,24585,,11000 · Accounts Receivable,,670.57,,"91,345.32"
,,,,Invoice,,05/22/2026,,24607,,11000 · Accounts Receivable,,918.96,,"92,264.28"
,,,,Credit Memo,,05/31/2026,,24476ST,,11000 · Accounts Receivable,,-98.69,,"92,165.59"
,Total Great Lakes Plumbing & Heating  Co.,,,,,,,,,,,"-92,910.90",,"92,165.59"
,H & H Industrial Motor Services,,,,,,,,,,,,,0.00
,,,,Invoice,,05/13/2026,,24449,,11000 · Accounts Receivable,,17.40,,17.40
,,,,Invoice,,05/13/2026,,24588,,11000 · Accounts Receivable,,160.65,,178.05
,,,,Payment,,05/18/2026,,29688,,11000 · Accounts Receivable,,-178.05,,0.00
,Total H & H Industrial Motor Services,,,,,,,,,,,0.00,,0.00
,HILL,,,,,,,,,,,,,"29,377.38"
,,,,Invoice,,05/04/2026,,24235,,11000 · Accounts Receivable,,"5,948.69",,"35,326.07"
,,,,Payment,,05/05/2026,,374369,,11000 · Accounts Receivable,,"-8,214.66",,"27,111.41"
,,,,Discount,,05/05/2026,,374369,,11000 · Accounts Receivable,,-398.66,,"26,712.75"
,,,,Invoice,,05/19/2026,,24234,,11000 · Accounts Receivable,,"4,996.12",,"31,708.87"
,,,,Invoice,,05/21/2026,,24595,,11000 · Accounts Receivable,,"2,508.61",,"34,217.48"
,,,,Invoice,,05/21/2026,,24594,,11000 · Accounts Receivable,,"2,787.33",,"37,004.81"
,,,,Payment,,05/21/2026,,374448,,11000 · Accounts Receivable,,"-16,788.77",,"20,216.04"
,,,,Discount,,05/21/2026,,374448,,11000 · Accounts Receivable,,-839.13,,"19,376.91"
,,,,Invoice,,05/22/2026,,24596,,11000 · Accounts Receivable,,"12,162.94",,"31,539.85"
,,,,Payment,,05/28/2026,,374490,,11000 · Accounts Receivable,,"-8,636.01",,"22,903.84"
,,,,Discount,,05/28/2026,,374490,,11000 · Accounts Receivable,,-448.84,,"22,455.00"
,,,,Invoice,,05/29/2026,,24618,,11000 · Accounts Receivable,,390.21,,"22,845.21"
,,,,Invoice,,05/29/2026,,24630,,11000 · Accounts Receivable,,381.06,,"23,226.27"
,,,,Invoice,,05/29/2026,,24232,,11000 · Accounts Receivable,,"5,848.29",,"29,074.56"
,Total HILL,,,,,,,,,,,-302.82,,"29,074.56"
,Hillco Distributing/ F E Moran,,,,,,,,,,,,,0.00
,Total Hillco Distributing/ F E Moran,,,,,,,,,,,,,0.00
,HITACHI GLOBAL AIR POWER US LLC,,,,,,,,,,,,,0.00
,Total HITACHI GLOBAL AIR POWER US LLC,,,,,,,,,,,,,0.00
,Midwest Fire Supression,,,,,,,,,,,,,"27,972.88"
,,,,Invoice,,05/08/2026,,24558,,11000 · Accounts Receivable,,826.84,,"28,799.72"
,,,,Invoice,,05/08/2026,,24567,,11000 · Accounts Receivable,,"5,278.47",,"34,078.19"
,,,,Invoice,,05/08/2026,,24568,,11000 · Accounts Receivable,,634.20,,"34,712.39"
,,,,Invoice,,05/08/2026,,24569,,11000 · Accounts Receivable,,"1,530.98",,"36,243.37"
,,,,Invoice,,05/19/2026,,24590,,11000 · Accounts Receivable,,"7,980.55",,"44,223.92"
,,,,Invoice,,05/20/2026,,24591,,11000 · Accounts Receivable,,"15,828.96",,"60,052.88"
,,,,Payment,,05/28/2026,,044194,,11000 · Accounts Receivable,,"-9,746.60",,"50,306.28"
,,,,Discount,,05/28/2026,,044194,,11000 · Accounts Receivable,,-475.29,,"49,830.99"
,Total Midwest Fire Supression,,,,,,,,,,,"21,858.11",,"49,830.99"
,"Millennium Piping, Inc.",,,,,,,,,,,,,0.00
,"Total Millennium Piping, Inc.",,,,,,,,,,,,,0.00
,Newburgh Windustrial,,,,,,,,,,,,,0.00
,Total Newburgh Windustrial,,,,,,,,,,,,,0.00
,Nicor Gas-,,,,,,,,,,,,,"66,959.98"
,,,,Payment,,05/01/2026,,9600053273,,11000 · Accounts Receivable,,"-13,165.69",,"53,794.29"
,,,,Payment,,05/06/2026,,9600053407,,11000 · Accounts Receivable,,"-31,020.97",,"22,773.32"
,,,,Discount,,05/06/2026,,9600053407,,11000 · Accounts Receivable,,-569.03,,"22,204.29"
,,,,Payment,,05/15/2026,,9600053636,,11000 · Accounts Receivable,,"-18,908.93",,"3,295.36"
,,,,Discount,,05/15/2026,,9600053636,,11000 · Accounts Receivable,,-346.28,,"2,949.08"
,,,,Invoice,,05/20/2026,,24545,,11000 · Accounts Receivable,,"3,927.46",,"6,876.54"
,,,,Invoice,,05/20/2026,,24550,,11000 · Accounts Receivable,,"3,716.81",,"10,593.35"
,,,,Invoice,,05/20/2026,,24527,,11000 · Accounts Receivable,,750.97,,"11,344.32"
,,,,Invoice,,05/20/2026,,24548,,11000 · Accounts Receivable,,"1,606.76",,"12,951.08"
,,,,Invoice,,05/20/2026,,24547,,11000 · Accounts Receivable,,"1,115.81",,"14,066.89"
,,,,Invoice,,05/29/2026,,24574,,11000 · Accounts Receivable,,"12,559.05",,"26,625.94"
,,,,Invoice,,05/31/2026,,24560,,11000 · Accounts Receivable,,"12,700.46",,"39,326.40"
,,,,Invoice,,05/31/2026,,24598,,11000 · Accounts Receivable,,"21,072.88",,"60,399.28"
,,,,Invoice,,05/31/2026,,24513,,11000 · Accounts Receivable,,"2,733.75",,"63,133.03"
,,,,Invoice,,05/31/2026,,24599,,11000 · Accounts Receivable,,"2,326.45",,"65,459.48"
,,,,Invoice,,05/31/2026,,24438,,11000 · Accounts Receivable,,"1,822.91",,"67,282.39"
,,,,Invoice,,05/31/2026,,24609,,11000 · Accounts Receivable,,"6,371.76",,"73,654.15"
,,,,Invoice,,05/31/2026,,24621,,11000 · Accounts Receivable,,716.60,,"74,370.75"
,Total Nicor Gas-,,,,,,,,,,,"7,410.77",,"74,370.75"
,NICOR NIPPLES,,,,,,,,,,,,,0.00
,,,,Invoice,,05/20/2026,,24473,,11000 · Accounts Receivable,,"9,256.49",,"9,256.49"
,,,,Invoice,,05/20/2026,,24425,,11000 · Accounts Receivable,,"6,441.22",,"15,697.71"
,,,,Invoice,,05/20/2026,,24525,,11000 · Accounts Receivable,,"4,477.84",,"20,175.55"
,,,,Invoice,,05/20/2026,,24526,,11000 · Accounts Receivable,,"8,749.25",,"28,924.80"
,,,,Invoice,,05/20/2026,,24426,,11000 · Accounts Receivable,,"13,805.54",,"42,730.34"
,,,,Invoice,,05/31/2026,,24549,,11000 · Accounts Receivable,,"25,877.85",,"68,608.19"
,,,,Invoice,,05/31/2026,,24546,,11000 · Accounts Receivable,,"13,133.18",,"81,741.37"
,Total NICOR NIPPLES,,,,,,,,,,,"81,741.37",,"81,741.37"
,Old System,,,,,,,,,,,,,0.00
,Total Old System,,,,,,,,,,,,,0.00
,Olympic,,,,,,,,,,,,,0.00
,Total Olympic,,,,,,,,,,,,,0.00
,Profasts - Hill,,,,,,,,,,,,,0.00
,Total Profasts - Hill,,,,,,,,,,,,,0.00
,RTC Supply Corporation,,,,,,,,,,,,,0.00
,Total RTC Supply Corporation,,,,,,,,,,,,,0.00
,Superior Mechanical Systems,,,,,,,,,,,,,0.00
,Total Superior Mechanical Systems,,,,,,,,,,,,,0.00
,TPC Fire Protection,,,,,,,,,,,,,0.00
,Total TPC Fire Protection,,,,,,,,,,,,,0.00
,United States Fire Protection/ Alliance,,,,,,,,,,,,,0.00
,Total United States Fire Protection/ Alliance,,,,,,,,,,,,,0.00
,Valley Fire,,,,,,,,,,,,,0.00
,Total Valley Fire,,,,,,,,,,,,,0.00
TOTAL,,,,,,,,,,,,"80,869.46",,"609,772.89"
,,,,,,,,,,,,,,
